season,team,attempts,completions,passing_yards,passing_tds,passing_epa,sacks,sack_yards,carries,rushing_yards,rushing_tds,rushing_epa,interceptions,sack_fumbles_lost,receiving_fumbles_lost,rushing_fumbles_lost,season_type
2017,PIT,591,385,4542.0,29,86.6836872295531,24.0,154.0,437,1667.0,12,-36.31798764860335,15.0,2,0.0,2.0,REG
2017,SEA,555,340,3979.0,34,23.40568113374603,43.0,322.0,411,1633.0,5,-42.90546820034151,12.0,3,1.0,1.0,REG
2017,SF,402,243,2990.0,11,16.52706996142831,27.0,198.0,403,1655.0,14,-22.553683076730387,11.0,2,2.0,2.0,REG
2017,TB,605,378,4607.0,26,58.62389549660923,40.0,241.0,386,1433.0,8,-42.78912147105656,14.0,6,4.0,3.0,REG
2017,TEN,496,306,3394.0,14,-46.66783523711528,35.0,203.0,441,1829.0,17,-36.9210205998008,17.0,2,2.0,2.0,REG
2017,WAS,540,347,4093.0,27,16.449299637370878,41.0,342.0,393,1419.0,10,-56.179631073793445,13.0,4,2.0,3.0,REG
2018,ARI,495,283,2884.0,15,-170.93254263643536,52.0,361.0,361,1357.0,9,-58.54075392328835,18.0,7,1.0,2.0,REG
2018,ATL,617,428,4949.0,36,120.96182811379003,42.0,296.0,351,1573.0,11,-32.98608856333905,7.0,5,4.0,1.0,REG
2018,BAL,556,334,3708.0,18,16.576983977572894,32.0,150.0,573,2541.0,20,-6.467034594287163,9.0,3,1.0,6.0,REG
2018,BUF,417,226,2756.0,13,-65.44201532725435,34.0,254.0,458,1934.0,14,-30.46780386142062,16.0,3,3.0,1.0,REG
2018,CAR,563,378,4071.0,28,34.22848032713061,32.0,235.0,411,2103.0,17,23.1706557589117,16.0,0,2.0,2.0,REG
2018,CHI,512,344,3747.0,28,49.74979617550879,33.0,183.0,468,1938.0,16,-16.964251672759975,14.0,2,4.0,4.0,REG
2018,CIN,542,331,3569.0,27,12.604216381055302,37.0,279.0,359,1682.0,13,-19.322158674434824,13.0,1,1.0,0.0,REG
2018,CLE,574,353,4261.0,29,6.762693595995135,38.0,254.0,297,1511.0,10,-0.005217478373122475,17.0,2,3.0,1.0,REG
2018,DAL,527,356,3885.0,22,23.9504307860604,56.0,347.0,440,1972.0,13,-4.5446777897596995,8.0,5,2.0,2.0,REG
2018,DEN,588,367,3930.0,19,-10.795544926827798,34.0,235.0,393,1907.0,18,0.6441459476554492,15.0,1,2.0,2.0,REG
2018,DET,574,375,3844.0,22,-2.079742415598542,41.0,268.0,400,1617.0,11,-40.823920316969506,12.0,3,1.0,2.0,REG
2018,GB,640,392,4629.0,25,25.252349746413696,53.0,391.0,327,1663.0,16,29.904339308881855,4.0,4,1.0,1.0,REG
2018,HOU,506,345,4165.0,26,60.657049387940006,62.0,384.0,472,2021.0,12,-42.87253363641178,9.0,2,3.0,1.0,REG
2018,IND,644,432,4595.0,39,108.87758297508375,18.0,134.0,409,1714.0,13,-27.20933576365189,15.0,1,4.0,3.0,REG
2018,JAX,536,329,3431.0,15,-59.943913941161924,53.0,322.0,524,2090.0,12,-53.07309223787963,13.0,5,6.0,4.0,REG
2018,KC,583,385,5126.0,50,223.08535989727235,26.0,171.0,387,1855.0,16,19.807583233025895,12.0,2,3.0,1.0,REG
2018,LA,568,368,4730.0,32,117.05978125555758,33.0,223.0,483,2335.0,23,27.99991735249185,12.0,4,1.0,0.0,REG
2018,LAC,512,348,4316.0,32,129.27602099537833,34.0,227.0,398,1873.0,16,-4.421005703755638,12.0,2,3.0,0.0,REG
2018,MIA,455,292,3309.0,26,-55.22100594109631,52.0,409.0,371,1738.0,7,-39.230083306041024,13.0,3,1.0,5.0,REG
2018,MIN,606,425,4298.0,30,-12.061679241282334,40.0,262.0,358,1494.0,9,-70.34215359590002,10.0,5,1.0,4.0,REG
2018,NE,574,378,4405.0,29,92.72521134164353,21.0,147.0,459,1966.0,18,2.4043505236474267,11.0,2,2.0,1.0,REG
2018,NO,519,381,4174.0,33,150.47988517387242,20.0,132.0,468,2025.0,26,-6.768484999522649,7.0,1,4.0,3.0,REG
2018,NYG,583,382,4405.0,23,30.609429217604266,47.0,358.0,354,1650.0,13,-8.906853887141743,12.0,4,1.0,0.0,REG
2018,NYJ,524,299,3404.0,18,-45.55749299280272,37.0,239.0,410,1619.0,11,-66.71811723335767,19.0,1,3.0,5.0,REG
2018,OAK,637,426,4353.0,20,-48.89655984626573,59.0,340.0,396,1669.0,10,-48.37327971622818,17.0,7,1.0,6.0,REG
2018,PHI,599,422,4524.0,29,58.07540184706632,40.0,249.0,401,1612.0,12,-26.56689419882415,11.0,8,1.0,2.0,REG
